Price,Strike,IV,MC Price,BMCRR Price,BMJR Price
61.05,60,1.2148992932319262,61.09382639262527,61.04782943483429,61.04779902021495
56.1,65,1.1002518973561792,56.0496704879025,56.09968040115258,56.099798065792406
51.15,70,0.992644788596512,51.15804798977727,51.14996330917356,51.149944929826205
46.15,75,0.8764182657452099,46.162855195531655,46.150006308486056,46.150085663117565
41.2,80,0.7812848596908898,41.188397768061115,41.20017163000214,41.19970009852621
36.3,85,0.7017442087250669,36.27491976752233,36.29981321712383,36.29988323492115
31.4,90,0.6223879644609542,31.387706502429072,31.399425849833094,31.400225472038017
26.55,95,0.5512147788671867,26.547261188049294,26.549171146658548,26.549425573283177
21.6,100,0.4627310440050118,21.59788491122618,21.60025135716269,21.599158335771598
20.85,101,0.4772391297365626,20.845810184574475,20.849552117969928,20.850600657067613
19.85,102,0.4575668892614485,19.855217679578608,19.849705226346902,19.85009962823082
18.85,103,0.4379662544159038,18.846113313942645,18.8505749567136,18.848946448470794
18.0,104,0.4358761433421937,18.01081724344525,18.000617401114237,17.999204854093513
16.7,105,0.3810725363667429,16.69448392387594,16.700392936043475,16.700381826627314
15.8,106,0.3737656191106653,15.804524109048838,15.800092941988988,15.800579349924828
15.45,107,0.4212612316908144,15.452143789399482,15.449153721201924,15.450892808045179
14.55,108,0.4094554425710163,14.55698736712401,14.550316752863923,14.549995787393346
13.25,109,0.3604918206916654,13.250964991536032,13.250470961049,13.25078039465467
12.4,110,0.3533613495075572,12.394014030884456,12.400387690359546,12.400793778471398
12.15,111,0.3944125952337577,12.152397756304557,12.151058450671224,12.149387768243981
10.8,112,0.3436956365290184,10.800486078664198,10.800882508504811,10.800954806976762
10.65,113,0.3855398280964474,10.651265363777727,10.651210561763133,10.64996870691925
9.65,114,0.3611006842396935,9.666054700316055,9.650165048229221,9.651053854486548
8.55,115,0.3292617497106495,8.547192814389492,8.550424778658627,8.550190760699811
8.5,116,0.3687421750474134,8.511489237286385,8.501318655781912,8.500466838418355
7.85,117,0.3646956851548285,7.840484949276064,7.85124411804981,7.85020229483583
7.25,118,0.3622935847082963,7.242568172655806,7.250980291906318,7.249609157742803
6.65,119,0.3582372769511772,6.648409408034294,6.650536785057932,6.648970015870518
5.4,120,0.3118012524582184,5.396886793999671,5.399938679481463,5.4002714504046905
4.9,121,0.3109334403201362,4.9029703807879,4.899796686465631,4.899354392384135
4.4,122,0.3081156483852691,4.39823279561255,4.401095171053666,4.40089602816844
3.95,123,0.3064621837802145,3.953129612558817,3.9509359596108595,3.951123452239054
4.15,124,0.3440192923696271,4.151314230861947,4.151124989864337,4.151301951471991
3.75,125,0.3422773773645827,3.7489850426288767,3.7512610431742877,3.7511306963473503
2.89,126,0.3084886947771261,2.88878863608905,2.8907515172085247,2.8904847630054995
2.57,127,0.3076574921059292,2.5705523092887277,2.5709647027248805,2.570987571932947
2.29,128,0.3077458740330859,2.2930860404048192,2.290371900850945,2.2906463123867145
2.08,129,0.3111651187690873,2.076712628726127,2.07997395643686,2.0802471044693376
1.81,130,0.3084612678390026,1.8044577441411445,1.8094953347262641,1.8090352315930707
0.88,135,0.301394215571917,0.8783817236378408,0.8801020738577788,0.8797951967463928
0.49,140,0.312866795887127,0.4885650071058426,0.489482186612831,0.48934077510018675
0.3,145,0.313005620349489,0.22906578986449372,0.22853149974663176,0.22850342017916286
0.2,150,0.3126858187644308,0.09923207862460436,0.09959782169002498,0.09959861339852029
0.14,155,0.3285280922961506,0.061110971290598726,0.06082046266312281,0.060810107788968795
0.11,160,0.3505057657343982,0.04558862802815387,0.04510613010551475,0.0450668623833731
