Price,Strike,IV,MC Price,BMCRR Price,BMJR Price
88.95,130.0,1.0769,88.86374319655103,88.85457547627891,88.8560902305562
84.14,135.0,1.0289,84.0687984636515,84.02800494675257,84.02636273915438
79.34,140.0,0.9826,79.2149434189354,79.2148614329557,79.21548727676368
74.55,145.0,0.9382,74.43899661172475,74.42143043409246,74.42173254085691
69.8,150.0,0.8956999999999999,69.64661477939893,69.6537146761517,69.65544135792103
65.09,155.0,0.8554,64.9362625996025,64.92414907552295,64.92735222879247
60.41,160.0,0.8172,60.25784806916298,60.23652693739884,60.24073296479042
55.8,165.0,0.7812,55.59617836875341,55.60366287305653,55.607618124162045
51.25,170.0,0.7476,51.03053859925205,51.042660553088105,51.04338601785123
46.79,175.0,0.7162000000000001,46.5370985326467,46.56240856538728,46.55955157106891
42.43,180.0,0.6872,42.180035237299485,42.18014045750703,42.18260949255139
38.19,185.0,0.6604000000000001,37.9135876713071,37.929896066231706,37.92987942384676
34.11,190.0,0.636,33.79331251711323,33.82110881985989,33.82228398501475
30.2,195.0,0.6138,29.90629870395521,29.89521299104639,29.895709131143562
26.49,200.0,0.5939,26.166502299040797,26.17541079880799,26.175715840107205
23.02,205.0,0.5761999999999999,22.68818771743423,22.688793115363392,22.68800187789581
19.81,210.0,0.5607,19.454291199286278,19.465234547477742,19.463482815790016
16.88,215.0,0.5475,16.535791116469102,16.53235804552595,16.53050259686971
14.26,220.0,0.5365,13.906512180830424,13.905253883641377,13.904384310396557
11.94,225.0,0.5277000000000001,11.578400643397579,11.59282911717401,11.593811146552046
9.94,230.0,0.5211,9.61323807023927,9.594360055358598,9.597475221470955
8.24,235.0,0.5169,7.900626908935253,7.904683464263451,7.909399106174679
6.82,240.0,0.515,6.514175337544926,6.501161774126154,6.506253770304329
5.65,245.0,0.5155,5.3605237664772485,5.358706023724016,5.362497574510766
4.72,250.0,0.5183,4.437577420262334,4.44180458236507,4.442676391527792
3.97,255.0,0.5233,3.709779707850033,3.7128067204575377,3.709642234320306
3.37,260.0,0.5302,3.1296271992870706,3.131203326803088,3.133501234944451
2.89,265.0,0.5385,2.66931423455577,2.673539494832007,2.672156572980161
2.51,270.0,0.5477000000000001,2.30629706700258,2.298137257786058,2.3002832628930494
2.18,275.0,0.5573,1.9918107697578544,1.9916812162852198,1.990251861303216
1.92,280.0,0.5670000000000001,1.7398571458487142,1.7357349798367432,1.7342784627767414
1.69,285.0,0.5768,1.51859690360691,1.5201002542818118,1.5195168876500031
1.49,290.0,0.5866,1.3351803427229512,1.337434055075988,1.3371892370003247
