Price,Strike,IV,MC Price,BMCRR Price,BMJR Price
1557.29,3100.0,0.826,1552.107514593999,1551.619557167708,1551.6107776981216
1462.73,3200.0,0.7981999999999999,1456.7813239542108,1456.716931042625,1456.7246692116119
1369.1,3300.0,0.7722,1362.649106764445,1362.6888482014567,1362.7459590470678
1276.62,3400.0,0.7481,1270.2607102951774,1269.8583705047047,1269.886120354986
1185.54,3500.0,0.7258,1178.6401362949227,1178.3927375885082,1178.340066955486
1096.14,3600.0,0.7054,1088.064507599831,1088.4965145914925,1088.5654558273366
1008.77,3700.0,0.6867,1000.5271127872791,1000.7485405186367,1000.7373201868952
923.78,3800.0,0.6698999999999999,915.6494963554285,915.2292043032697,915.2937967846146
841.61,3900.0,0.6548,832.5642146871371,832.6955945026027,832.6750712097416
762.67,4000.0,0.6414,753.1156260064804,753.2983545398776,753.311264586146
687.43,4100.0,0.6297999999999999,677.3875940400562,677.550140428537,677.5662595526093
616.32,4200.0,0.62,606.2179911772844,606.177490688581,606.1814629096332
549.75,4300.0,0.6118,539.5347981833933,539.337122837531,539.3416568356106
488.09,4400.0,0.6054999999999999,476.7612575483164,477.49768793951364,477.4880010663538
431.63,4500.0,0.6009,420.62270685915865,420.82512212006867,420.7906748810788
380.55,4600.0,0.5982,369.6992771900387,369.5788939253218,369.6313743378888
334.94,4700.0,0.5975,324.37683225283683,324.158080759829,324.1828763830078
294.76,4800.0,0.5988,284.16400273991326,284.14047624439013,284.13079783050694
259.8,4900.0,0.6022,249.28437526805865,249.29455575522977,249.25269280959455
229.71,5000.0,0.6076,219.15809756274578,219.51418818308764,219.5237082772515
203.95,5100.0,0.6147,193.88077105777234,194.00862179418755,193.9937706560295
181.83,5200.0,0.623,172.21921428117562,172.21396163728932,172.20762950473133
162.66,5300.0,0.632,153.28060964702948,153.24233188451655,153.23653166225276
145.83,5400.0,0.6409999999999999,136.56124022156789,136.82389300321879,136.83437851002918
130.91,5500.0,0.6498999999999999,122.23126995095637,122.30914926465601,122.29985078287977
117.63,5600.0,0.6585,109.42240979158049,109.39706811516069,109.36068487683494
105.8,5700.0,0.6668000000000001,97.68406067109326,97.91792112054033,97.85326823484205
95.3,5800.0,0.6748999999999999,87.82900636903442,87.75323089992776,87.67631803517392
86.0,5900.0,0.6829999999999999,79.3339694429186,78.82540203280784,78.78506927037257
77.79,6000.0,0.6911,70.94469487185314,70.98124776101821,70.94012861566874
70.54,6100.0,0.6992,63.999276162498184,64.08047710506835,64.01119889849255
