Price,Strike,IV,MC Price,BMCRR Price,BMJR Price
126.8,50,2.1236750756635168,126.78417284541493,126.68788614271959,126.68627468707135
116.25,60,1.5494874168663455,116.20293654360326,116.13227929813752,116.13142367101293
111.7,65,1.6715731720816107,111.62168405362772,111.6665315723859,111.66726058117804
106.9,70,1.6183038301014254,106.89884694618479,106.88758983200519,106.88752055701141
101.75,75,1.4567224929777771,101.70810233502759,101.74080517542107,101.73939620398392
96.5,80,1.266728625811283,96.46886180880377,96.49041695733676,96.48967042647101
91.7,85,1.2359181853829797,91.66581385853814,91.69706554621374,91.69714040947265
86.6,90,1.112554725352565,86.5989810269167,86.59827810497048,86.59855764582032
81.75,95,1.0672855650188064,81.7741351966836,81.74848796015853,81.74980312174998
76.95,100,1.0302109313278716,76.96455912497177,76.94960815870654,76.94973313892598
72.1,105,0.978565744548296,72.1400940390779,72.09967972825346,72.10034694768837
66.65,110,0.8017987661778897,66.68474693236318,66.65044142389081,66.65037635126865
62.2,115,0.83990942529991,62.23559039905303,62.1998837813957,62.19951818662696
56.65,120,0.6607917604565621,56.63090766755687,56.64950487807077,56.65004986318027
52.4,125,0.7239644708548344,52.379502665506095,52.39867977032946,52.40061561296063
47.05,130,0.603670702723183,47.053314760752855,47.050232276754336,47.04997408435459
41.8,135,0.4985113003664523,41.794371666445784,41.79971665915274,41.79891578026529
37.05,140,0.475509953150611,37.03800249636926,37.0502063483189,37.050120260394756
32.05,145,0.4141362790656729,32.056546213655146,32.050082736992884,32.04998263133157
27.65,150,0.4157161257387395,27.652733056515288,27.650038996875317,27.650439240859335
22.45,155,0.3341063697436566,22.4581848270173,22.45058455012267,22.450529890766628
18.2,160,0.3260154193228933,18.20042305320658,18.200640000871033,18.200542018179675
13.8,165,0.2913390093090383,13.782304964633578,13.799280883568427,13.799393034725032
10.25,170,0.2846376466786133,10.24644981927934,10.2504536418257,10.251379853222964
5.8,175,0.2161121671111939,5.801037847324701,5.801234127497328,5.800500253286354
3.2,180,0.2008897229769787,3.198718180533787,3.199114082239187,3.2003262114263014
1.62,185,0.1955755884303024,1.6169130563865535,1.6199599737332913,1.619357903980654
0.65,190,0.1856966906782303,0.6500940948315053,0.6499550233330605,0.6500605510309643
0.29,195,0.1898815838208414,0.29105355745216493,0.2918066392043379,0.29192305645729194
0.32,200,0.2223632735139202,0.26562491477590705,0.266063247456672,0.26604336146698915
0.26,205,0.2299005599341731,0.14285110165837495,0.14205652610969502,0.14242696071884153
0.08,210,0.318752772263614,0.4430087536951911,0.44262710515593157,0.44263935032632723
2.16,215,0.5200314429866658,2.160317032139003,2.160870437303407,2.160175937578793
0.05,220,0.2533697922853585,0.025244678883853826,0.02436313642189842,0.02440041971340632
0.05,225,0.2771799304901223,0.025734670680616058,0.02543050873838866,0.025369381953807373
0.04,230,0.2759746975855486,0.011195715532782582,0.011210132616503247,0.011171431136557277
0.04,235,0.2955899981792568,0.011407173974322202,0.011069566552809693,0.011075752996789699
0.04,240,0.3145398825730878,0.01146990226846631,0.010845639800577678,0.010852111127925269
0.19,245,0.4095504921625343,0.07941017042153646,0.07892815115022807,0.07871925502274534
0.03,250,0.3427871414632099,0.007685712210745221,0.008083143965234388,0.00806929104488771
